File_name,Lips_distance,Euler's_angles,Expression
extraction/extracted_faces/Laurine4/00000181.jpg,3.0,[-2.1236441e+00  1.7633556e-01 -1.7904877e+02],"[1.3257796e-03 7.0561764e-05 1.8087842e-03 1.8020999e-04 9.1630375e-01
 7.2805904e-04 7.9582840e-02]"
extraction/extracted_faces/Laurine4/00000182.jpg,10.0,[  -0.526157    -5.4738746 -178.1389   ],"[9.3056512e-01 7.7923946e-04 1.9565788e-03 7.0985346e-03 5.1462937e-02
 2.3679787e-04 7.9008918e-03]"
extraction/extracted_faces/Laurine4/00000183.jpg,6.0,[-21.761974  -7.375168 179.75851 ],"[3.4095671e-03 1.6926244e-04 5.7906937e-04 1.5785107e-01 1.3236656e-02
 9.8983373e-04 8.2376450e-01]"
extraction/extracted_faces/Laurine4/00000184.jpg,3.0,[  -6.920783     -0.36975363 -179.44655   ],"[1.03721286e-04 2.34643721e-05 2.37298027e-05 9.93363738e-01
 2.76247127e-04 9.59941390e-05 6.11309940e-03]"
extraction/extracted_faces/Laurine4/00000185.jpg,3.0,[ -12.670746     7.4314594 -178.67026  ],"[1.4893566e-03 1.5518667e-04 1.7740818e-04 9.6664107e-01 3.7769463e-03
 3.4651259e-04 2.7413445e-02]"
extraction/extracted_faces/Laurine4/00000186.jpg,10.440307,[ -13.135249    -2.2227426 -177.85474  ],"[1.5509113e-03 1.6166315e-04 4.1410720e-04 7.2041743e-02 1.6150391e-01
 2.7621115e-04 7.6405144e-01]"
extraction/extracted_faces/Laurine4/00000187.jpg,8.062258,[ -29.59982    -8.949211 -176.74324 ],"[7.8228652e-04 1.4542634e-05 1.2693804e-04 6.9570444e-03 4.3617087e-04
 2.5785205e-04 9.9142516e-01]"
extraction/extracted_faces/Laurine4/00000188.jpg,4.0,[-7.8263278e+00 -3.9088149e-02 -1.7920758e+02],"[3.5538379e-04 3.0613875e-05 2.2952941e-04 1.7439111e-03 2.3101020e-01
 3.9716432e-04 7.6623321e-01]"
extraction/extracted_faces/Laurine4/00000189.jpg,4.0,[ -12.51922   -16.270515 -179.97849 ],"[9.3114161e-01 1.0182213e-03 1.1287382e-03 5.0444074e-04 6.4771377e-02
 1.8365459e-04 1.2520567e-03]"
extraction/extracted_faces/Laurine4/0000019.jpg,7.0,[  -7.193489     6.3973064 -178.2256   ],"[0.3131211  0.00174078 0.18491392 0.00360697 0.47824588 0.00111894
 0.01725236]"
extraction/extracted_faces/Laurine4/00000190.jpg,8.062258,[ -17.868969   -7.560056 -178.39752 ],"[7.0033048e-04 5.7648369e-05 2.4631884e-04 4.3066684e-02 8.9174239e-03
 5.4944027e-04 9.4646221e-01]"
extraction/extracted_faces/Laurine4/00000191.jpg,4.0,[  -9.626817    7.750578 -177.46074 ],"[4.9883762e-04 6.5058637e-05 1.5592801e-04 9.9089217e-01 3.0082176e-04
 4.9658155e-04 7.5905314e-03]"
extraction/extracted_faces/Laurine4/00000192.jpg,26.0,[  -8.1975565    2.8330407 -179.09293  ],"[2.2617064e-03 5.7580713e-05 2.3252323e-04 9.2666526e-04 8.1080186e-01
 1.6764911e-04 1.8555190e-01]"
extraction/extracted_faces/Laurine4/00000193.jpg,7.0,[ -26.414421  -13.295819 -177.74055 ],"[1.2759893e-03 3.5835765e-05 5.0841976e-04 1.2762996e-02 2.0804494e-03
 5.0353934e-04 9.8283273e-01]"
extraction/extracted_faces/Laurine4/00000194.jpg,6.0,[  -5.34145      -0.82842773 -179.30121   ],"[4.6807935e-04 1.0245437e-04 1.4397132e-04 9.6471947e-01 4.1083298e-03
 1.9127638e-04 3.0266458e-02]"
extraction/extracted_faces/Laurine4/00000195.jpg,3.0,[ -19.821594   -9.808806 -179.89774 ],"[0.7158739  0.00120471 0.00682695 0.00268361 0.23948617 0.00136443
 0.03256026]"
extraction/extracted_faces/Laurine4/00000196.jpg,29.0,[ -14.019316     2.7950318 -179.57874  ],"[1.0381233e-02 1.9318768e-04 3.5229938e-03 3.5162221e-04 9.7861326e-01
 1.6092375e-04 6.7768125e-03]"
extraction/extracted_faces/Laurine4/00000197.jpg,7.0,[-3.7527189e-02 -1.8220192e+00 -1.7920819e+02],"[5.1834539e-04 6.3608983e-05 8.5272634e-04 2.5067324e-02 2.5315790e-02
 5.4131995e-04 9.4764096e-01]"
extraction/extracted_faces/Laurine4/00000198.jpg,4.0,[ -11.0137       0.6477786 -179.88239  ],"[4.6480834e-03 1.7686210e-04 9.6917075e-01 4.7727639e-04 5.1397095e-03
 1.8743321e-02 1.6439785e-03]"
extraction/extracted_faces/Laurine4/00000199.jpg,3.0,[ -13.676908     2.4396718 -178.13661  ],"[9.5869064e-02 5.1277824e-04 1.3818828e-03 8.4453024e-04 8.9218730e-01
 2.3734708e-04 8.9671891e-03]"
extraction/extracted_faces/Laurine4/00000200.jpg,6.0,[-5.9472747e+00  4.4091428e-03 -1.7865564e+02],"[2.0347875e-02 4.4522644e-04 1.8570874e-03 1.5054166e-01 4.3042000e-02
 1.1279542e-03 7.8263819e-01]"
extraction/extracted_faces/Laurine4/00000201.jpg,6.0,[ -14.815419    -7.5661993 -179.29861  ],"[2.3765283e-04 5.1620958e-05 2.1807211e-04 9.1153753e-01 7.6396368e-04
 2.4263217e-04 8.6948492e-02]"
extraction/extracted_faces/Laurine4/00000202.jpg,6.0,[ -16.74183      1.2547699 -179.00461  ],"[0.01219358 0.00146998 0.09398913 0.00392894 0.43524542 0.346078
 0.10709494]"
extraction/extracted_faces/Laurine4/00000203.jpg,7.0,[  -2.2586114   -3.5868533 -179.1072   ],"[8.83441627e-01 5.36634412e-04 1.49448169e-03 2.98695895e-03
 1.02050364e-01 3.12995224e-04 9.17690340e-03]"
